,P,H,T
227,244.58895280853744,8898.021935945233,386.66768930671446
228,244.58895262883016,8898.021935676083,386.66768930628655
229,244.5889515442764,8898.021934227285,386.6676893060352
230,244.58894939031055,8898.021931380754,386.66768930594577
231,244.58894611804962,8898.02192707068,386.6676893060004
232,244.58894170407842,8898.021921262889,386.6676893061549
233,244.58893623644437,8898.02191408249,386.66768930652887
234,244.58892950530526,8898.02190524494,386.66768930701835
235,244.58892156941658,8898.021894839792,386.667689307784
236,244.58891251418484,8898.021882924551,386.66768930809263
237,244.58890565733316,8898.021873347016,386.6676893009538
238,244.58890157678206,8898.021867837864,386.6676892992363
239,244.5888976978411,8898.02186283185,386.6676893006707
240,244.5888941738151,8898.021858294689,386.6676893021184
241,244.58889102605602,8898.021854231194,386.667689303268
242,244.5888883095449,8898.021850713625,386.6676893041167
243,244.58888601895765,8898.021847729555,386.6676893045934
244,244.58888416784677,8898.021845299907,386.66768930473745
245,244.5888827447556,8898.021843412575,386.6676893045899
246,244.58888171394125,8898.021842020442,386.66768930415014
247,244.5888810409926,8898.021841258205,386.66768930581065
248,244.58888023865435,8898.021840487516,386.66768930962473
249,244.588879035906,8898.02183886636,386.66768930915396
250,244.5888773569398,8898.021836603093,386.66768930849344
251,244.58887500100087,8898.021833455447,386.66768930794143
252,244.58887191534498,8898.021829351446,386.66768930746537
253,244.58886807751864,8898.021824267182,386.667689307141
254,244.58886343487174,8898.021818132811,386.6676893069617
255,244.58885803826087,8898.021811014283,386.66768930691427
256,244.58885190719192,8898.021802938989,386.6676893070199
257,244.58884513510935,8898.02179402762,386.66768930724595
258,244.58883770333782,8898.021784255687,386.6676893075936
259,244.58882960408582,8898.021773606395,386.6676893079768
260,244.58882083666,8898.021762084767,386.66768930847405
261,244.5888114536862,8898.02174975645,386.66768930903515
262,244.58880181581173,8898.021737093186,386.66768930961223
263,244.5887954578333,8898.021728478887,386.66768930653166
264,244.58879232527474,8898.021724295017,386.6676893058153
265,244.58878979336626,8898.0217210191,386.6676893066412
266,244.58878795232468,8898.021718617609,386.6676893069838
267,244.58878686470362,8898.021717190913,386.66768930708
268,244.58878648447907,8898.021716666894,386.6676893067781
269,244.58878687898195,8898.021717146421,386.6676893062388
270,244.58878800106456,8898.021718564743,386.6676893054278
271,244.5887897839182,8898.021720830908,386.66768930430743
272,244.58879218767362,8898.021723903958,386.66768930303095
273,244.58879505768328,8898.02172777903,386.6676893042428
274,244.58880049968602,8898.021735270384,386.6676893084478
275,244.58880857759974,8898.02174585043,386.66768930751914
276,244.5888166853481,8898.021756457432,386.66768930642564
277,244.5888245677385,8898.021766765476,386.6676893053071
278,244.5888323444511,8898.021776944764,386.6676893043296
279,244.58883981104458,8898.021786727068,386.66768930350935
280,244.58884658242675,8898.02179567963,386.66768930384274
281,244.58885534529998,8898.021807491188,386.667689307277
282,244.58886393989636,8898.021818826674,386.66768930733457
283,244.58886929516544,8898.021825877231,386.66768930720303
284,244.58887173734558,8898.021829170862,386.66768930818415
285,244.58909483771407,8898.02212342523,386.6676893097361
286,244.58909378046405,8898.022121909378,386.66768930811605
287,244.5890920429662,8898.022119631556,386.66768930828727
288,244.5890894392676,8898.022116209135,386.66768930842494
289,244.58908567038708,8898.022111258137,386.6676893086624
290,244.5890804625501,8898.022104409101,386.6676893088889
291,244.58907346462374,8898.022095210466,386.6676893092539
292,244.58906440221799,8898.022083274993,386.66768930942004
293,244.58905624768022,8898.022072335578,386.667689306917
294,244.58905062636265,8898.022064910996,386.6676893067392
295,244.58904495963915,8898.022057501288,386.6676893075544
296,244.58903930461216,8898.022050095029,386.6676893082101
297,244.58903362045427,8898.02204262462,386.6676893085242
298,244.58902791874482,8898.022035120257,386.66768930869466
299,244.58902209096647,8898.022027440617,386.6676893087443
300,244.58901601040466,8898.02201941887,386.6676893086769
301,244.5890096065577,8898.022010966364,386.66768930854926
302,244.58900276551665,8898.022001938216,386.6676893084314
303,244.58899546692243,8898.02199231038,386.66768930836093
304,244.58898758937133,8898.021981921916,386.66768930832615
305,244.58897919206166,8898.021970859922,386.66768930844665
306,244.5889703854575,8898.021959273065,386.66768930876356
307,244.5889613811879,8898.021947381048,386.6676893084886
308,244.5889554531457,8898.021938919897,386.667689299913
309,244.5889523879025,8898.021934674089,386.66768929719535
310,244.5889497596013,8898.021931255784,386.6676892978183
311,244.58894762474196,8898.021928485125,386.66768929840225
312,244.58894603642347,8898.021926425754,386.6676892988629
313,244.58894494222622,8898.021924995877,386.6676892990316
314,244.5889443228776,8898.021924173261,386.66768929895125
315,244.58894411893527,8898.021923876884,386.66768929858637
316,244.58894429632292,8898.021924072173,386.66768929807336
317,244.58894476293912,8898.021924645021,386.66768929751083
318,244.58894543655774,8898.021925729108,386.6676893001148
319,244.5889469080145,8898.021928281532,386.66768930824986
320,244.58894893760427,8898.021930950774,386.66768930816244
321,244.58895042331866,8898.02193285295,386.66768930741046
322,244.5889511965477,8898.021933828493,386.6676893068278
323,244.58895108493167,8898.021933650163,386.66768930641354
324,244.5889500195102,8898.02193222549,386.6676893061473
325,244.58894782015253,8898.02192931905,386.6676893060574
326,244.58894437511938,8898.021924776336,386.66768930604775
327,244.588939803595,8898.021918767154,386.66768930628604
328,244.58893401593446,8898.021911159547,386.6676893065904
329,244.58892706060317,8898.02190203324,386.6676893071701
330,244.58891876330827,8898.021891147964,386.6676893078867
331,244.58890940289925,8898.021878841264,386.6676893083407
332,244.58890229254587,8898.02186898448,386.6676893019322
333,244.58889820471236,8898.021863498032,386.66768930064353
334,244.58889435109162,8898.021858540516,386.6676893022789
335,244.58889083763225,8898.021854017998,386.6676893037357
336,244.58888774148386,8898.021850028366,386.66768930496266
337,244.58888506523812,8898.021846564749,386.6676893058228
338,244.5888828316365,8898.021843658886,386.6676893063404
339,244.58888105741468,8898.021841333886,386.6676893065281
340,244.58887970466657,8898.021839531535,386.66768930627785
341,244.58887880220087,8898.021838302879,386.66768930576103
342,244.588878254371,8898.021837674047,386.66768930700306
343,244.58887776058214,8898.021837248822,386.66768931000206
344,244.5888768776118,8898.021836041211,386.6676893094242
345,244.58887542531838,8898.021834076759,386.6676893087638
346,244.58887324717483,8898.021831157883,386.6676893081369
347,244.58887026973304,8898.021827193234,386.6676893076163
348,244.58886650166914,8898.021822196666,386.66768930723504
349,244.58886192377776,8898.021816147291,386.6676893070508
350,244.58885653508625,8898.02180903846,386.66768930699357
351,244.58885041748823,8898.021800980508,386.66768930709424
352,244.58884357720976,8898.02179197911,386.66768930731826
353,244.58883606283501,8898.021782093023,386.66768930759594
354,244.58882787259907,8898.021771324124,386.6676893079839
355,244.58881908458844,8898.021759777494,386.6676893085096
356,244.58880962231714,8898.021747348133,386.66768930911724
357,244.5887999271676,8898.021734620334,386.66768930983994
358,244.5887935337048,8898.021726003226,386.66768930734406
359,244.58879037138752,8898.021721796851,386.6676893068499
360,244.5887878463202,8898.02171854429,386.66768930786657
361,244.58878604126016,8898.021716205421,386.66768930841056
362,244.58878499212196,8898.021714837587,386.6676893086148
363,244.58878468196357,8898.02171441481,386.66768930843085
364,244.58878513410863,8898.021714972665,386.66768930792216
365,244.58878631557488,8898.021716465826,386.66768930706553
366,244.58878824072252,8898.021718928137,386.66768930605804
367,244.58879072557508,8898.021722094703,386.6676893046035
368,244.5887936361754,8898.021725981593,386.6676893052613
369,244.58879918238037,8898.02173355432,386.66768930872314
370,244.58880742680412,8898.0217443477,386.6676893077117
371,244.58881568546852,8898.021755156515,386.6676893066555
372,244.5888236855612,8898.021765624948,386.6676893056065
373,244.58883147026694,8898.021775819849,386.66768930469635
374,244.58883882184807,8898.021785441326,386.667689303754
375,244.5888455539662,8898.021794338987,386.66768930404623
376,244.58885436793574,8898.021806208973,386.6676893073618
377,244.58886301913273,8898.021817616445,386.6676893073836
378,244.5888684621657,8898.021824787063,386.6676893073099
379,244.58887096852243,8898.021828163875,386.66768930827254
380,244.58909556149504,8898.022124380717,386.66768930975275
381,244.58909447164515,8898.022122827457,386.6676893082066
382,244.58909260783173,8898.022120381247,386.6676893083533
383,244.58908985358127,8898.022116760487,386.6676893084923
384,244.58908596084152,8898.02211164914,386.6676893087696
385,244.58908069096722,8898.022104718882,386.66768930900344
386,244.58907371111144,8898.02209554426,386.66768930937144
387,244.58906477003015,8898.022083765625,386.667689309495
388,244.58905674141914,8898.022072997353,386.66768930706075
389,244.589051205035,8898.022065684347,386.66768930687783
390,244.58904559073872,8898.022058339982,386.6676893076423
391,244.58903998666287,8898.022050994117,386.66768930820854
392,244.58903437716796,8898.022043624596,386.6676893085551
393,244.58902870400817,8898.022036155846,386.6676893086979
394,244.58902290455586,8898.022028512742,386.66768930873735
395,244.58901686798626,8898.022020552564,386.6676893087176
396,244.58901046925902,8898.022012110649,386.66768930864083
397,244.58900356234201,8898.022002994298,386.66768930850503
398,244.58899609328955,8898.02199314298,386.6676893084509
399,244.5889880188373,8898.0219824962,386.66768930843347
400,244.5889792586986,8898.021970955937,386.66768930855505
401,244.588969956524,8898.021958715315,386.6676893088669
402,244.58896052001472,8898.021946261473,386.6676893086986
403,244.58895427754314,8898.021937429701,386.6676893007063
404,244.5889510566894,8898.021932990741,386.6676892981483
405,244.58894827253448,8898.021929366872,386.66768929877003
406,244.58894598886928,8898.021926398751,386.66768929933687
407,244.58894424770028,8898.0219241358,386.66768929977025
408,244.58894301975727,8898.021922532227,386.6676892999745
409,244.58894224814685,8898.021921505977,386.6676892998555
410,244.58894190987192,8898.021921028308,386.6676892994344
411,244.58894196398145,8898.021921050396,386.6676892987802
412,244.58894239743708,8898.021921578824,386.66768929820813
413,244.58894311065592,8898.021922711787,386.66768930076745
414,244.58894461552492,8898.021925270994,386.66768930840794
415,244.58894672803694,8898.021928046535,386.66768930828044
416,244.5889483255397,8898.021930098392,386.66768930755904
417,244.5889491798564,8898.02193118071,386.6676893069748
418,244.5889491724607,8898.0219311413,386.6676893065805
419,244.58894808091125,8898.021929683986,386.6676893063388
420,244.5889457782453,8898.02192663871,386.66768930621316
421,244.58894216724207,8898.021921877635,386.6676893062092
422,244.5889373328637,8898.021915516541,386.6676893063765
423,244.5889313251293,8898.021907622357,386.6676893067281
424,244.58892415056613,8898.021898207495,386.66768930731473
425,244.5889155886511,8898.021886977733,386.6676893080897
426,244.5889057814007,8898.021874084601,386.66768930857916
427,244.58889839929142,8898.021863925109,386.66768930290857
428,244.58889421723688,8898.021858342112,386.6676893019874
429,244.58889033139116,8898.021853353148,386.66768930377003
430,244.58888688980318,8898.02184894733,386.667689305518
