ID,fault,strike,dip,nx,ny,nz
9047,EW1,90.0,90.0,0.0,1.0,0.0
9048,EW1,90.0,90.0,0.0,1.0,0.0
9049,EW1,90.0,90.0,0.0,1.0,0.0
9050,EW1,90.0,90.0,0.0,1.0,0.0
9051,EW1,90.0,90.0,0.0,1.0,0.0
9052,EW1,90.0,90.0,0.0,1.0,0.0
9053,EW1,90.0,90.0,0.0,1.0,0.0
9054,EW1,90.0,90.0,0.0,1.0,0.0
9055,EW1,90.0,90.0,0.0,1.0,0.0
9056,EW1,90.0,90.0,0.0,1.0,0.0
9057,EW1,90.0,90.0,0.0,1.0,0.0
9058,EW1,90.0,90.0,0.0,1.0,0.0
9059,EW1,90.0,90.0,0.0,1.0,0.0
9060,EW1,90.0,90.0,0.0,1.0,0.0
9061,EW1,90.0,90.0,0.0,1.0,0.0
9062,EW1,90.0,90.0,0.0,1.0,0.0
9063,EW1,90.0,90.0,0.0,1.0,0.0
9064,EW1,90.0,90.0,0.0,1.0,0.0
9065,EW1,90.0,90.0,0.0,1.0,0.0
9066,EW1,90.0,90.0,0.0,1.0,0.0
9067,EW1,90.0,90.0,0.0,1.0,0.0
9068,EW1,90.0,90.0,0.0,1.0,0.0
9069,EW1,90.0,90.0,0.0,1.0,0.0
9070,EW1,90.0,90.0,0.0,1.0,0.0
9071,EW1,90.0,90.0,0.0,1.0,0.0
9072,EW1,90.0,90.0,0.0,1.0,0.0
9073,EW1,90.0,90.0,0.0,1.0,0.0
9074,EW1,90.0,90.0,0.0,1.0,0.0
9075,EW1,90.0,90.0,0.0,1.0,0.0
9076,EW1,90.0,90.0,0.0,1.0,0.0
9077,EW1,90.0,90.0,0.0,1.0,0.0
9078,EW1,90.0,90.0,0.0,1.0,0.0
9079,EW1,90.0,90.0,0.0,1.0,0.0
9080,EW1,90.0,90.0,0.0,1.0,0.0
9081,EW1,90.0,90.0,0.0,1.0,0.0
9082,EW1,90.0,90.0,0.0,1.0,0.0
9083,EW1,90.0,90.0,0.0,1.0,0.0
9084,EW1,90.0,90.0,0.0,1.0,0.0
9085,EW1,90.0,90.0,0.0,1.0,0.0
9086,EW1,90.0,90.0,0.0,1.0,0.0
9087,EW1,90.0,90.0,0.0,1.0,0.0
9088,EW1,90.0,90.0,0.0,1.0,0.0
9089,EW1,90.0,90.0,0.0,1.0,0.0
9090,EW1,90.0,90.0,0.0,1.0,0.0
9091,EW1,90.0,90.0,0.0,1.0,0.0
9092,EW1,90.0,90.0,0.0,1.0,0.0
9093,EW1,90.0,90.0,0.0,1.0,0.0
9094,EW1,90.0,90.0,0.0,1.0,0.0
9095,EW1,90.0,90.0,0.0,1.0,0.0
9096,EW1,90.0,90.0,0.0,1.0,0.0
9097,EW1,90.0,90.0,0.0,1.0,0.0
9098,EW1,90.0,90.0,0.0,1.0,0.0
9099,EW1,90.0,90.0,0.0,1.0,0.0
9100,EW1,90.0,90.0,0.0,1.0,0.0
9101,EW1,90.0,90.0,0.0,1.0,0.0
9102,EW1,90.0,90.0,0.0,1.0,0.0
9103,EW1,90.0,90.0,0.0,1.0,0.0
9104,EW1,90.0,90.0,0.0,1.0,0.0
9105,EW1,90.0,90.0,0.0,1.0,0.0
9106,EW1,90.0,90.0,0.0,1.0,0.0
9107,EW1,90.0,90.0,0.0,1.0,0.0
9108,EW1,90.0,90.0,0.0,1.0,0.0
9109,EW1,90.0,90.0,0.0,1.0,0.0
9110,EW1,90.0,90.0,0.0,1.0,0.0
9111,EW1,90.0,90.0,0.0,1.0,0.0
9112,EW1,90.0,90.0,0.0,1.0,0.0
9113,EW1,90.0,90.0,0.0,1.0,0.0
9114,EW1,90.0,90.0,0.0,1.0,0.0
9115,EW1,90.0,90.0,0.0,1.0,0.0
9116,EW1,90.0,90.0,0.0,1.0,0.0
9117,EW1,90.0,90.0,0.0,1.0,0.0
9118,EW1,90.0,90.0,0.0,1.0,0.0
9119,EW1,90.0,90.0,0.0,1.0,0.0
16625,EW1,90.0,90.0,0.0,1.0,0.0
16626,EW1,90.0,90.0,0.0,1.0,0.0
16627,EW1,90.0,90.0,0.0,1.0,0.0
16628,EW1,90.0,90.0,0.0,1.0,0.0
16629,EW1,90.0,90.0,0.0,1.0,0.0
16630,EW1,90.0,90.0,0.0,1.0,0.0
16631,EW1,90.0,90.0,0.0,1.0,0.0
16632,EW1,90.0,90.0,0.0,1.0,0.0
16633,EW1,90.0,90.0,0.0,1.0,0.0
16634,EW1,90.0,90.0,0.0,1.0,0.0
16635,EW1,90.0,90.0,0.0,1.0,0.0
16636,EW1,90.0,90.0,0.0,1.0,0.0
16637,EW1,90.0,90.0,0.0,1.0,0.0
16638,EW1,90.0,90.0,0.0,1.0,0.0
16639,EW1,90.0,90.0,0.0,1.0,0.0
16640,EW1,90.0,90.0,0.0,1.0,0.0
16641,EW1,90.0,90.0,0.0,1.0,0.0
16642,EW1,90.0,90.0,0.0,1.0,0.0
16643,EW1,90.0,90.0,0.0,1.0,0.0
16644,EW1,90.0,90.0,0.0,1.0,0.0
16645,EW1,90.0,90.0,0.0,1.0,0.0
16646,EW1,90.0,90.0,0.0,1.0,0.0
16647,EW1,90.0,90.0,0.0,1.0,0.0
16648,EW1,90.0,90.0,0.0,1.0,0.0
16649,EW1,90.0,90.0,0.0,1.0,0.0
16650,EW1,90.0,90.0,0.0,1.0,0.0
16651,EW1,90.0,90.0,0.0,1.0,0.0
16652,EW1,90.0,90.0,0.0,1.0,0.0
16653,EW1,90.0,90.0,0.0,1.0,0.0
16654,EW1,90.0,90.0,0.0,1.0,0.0
16655,EW1,90.0,90.0,0.0,1.0,0.0
16656,EW1,90.0,90.0,0.0,1.0,0.0
16657,EW1,90.0,90.0,0.0,1.0,0.0
16658,EW1,90.0,90.0,0.0,1.0,0.0
16659,EW1,90.0,90.0,0.0,1.0,0.0
16660,EW1,90.0,90.0,0.0,1.0,0.0
16661,EW1,90.0,90.0,0.0,1.0,0.0
16662,EW1,90.0,90.0,0.0,1.0,0.0
16663,EW1,90.0,90.0,0.0,1.0,0.0
16664,EW1,90.0,90.0,0.0,1.0,0.0
16665,EW1,90.0,90.0,0.0,1.0,0.0
16666,EW1,90.0,90.0,0.0,1.0,0.0
16667,EW1,90.0,90.0,0.0,1.0,0.0
16668,EW1,90.0,90.0,0.0,1.0,0.0
16669,EW1,90.0,90.0,0.0,1.0,0.0
16670,EW1,90.0,90.0,0.0,1.0,0.0
