,P,H,T
271,244.55351482811454,8900.305371389726,386.6986428001634
272,244.55351514219794,8900.305371841774,386.6986428006688
273,244.55351550187322,8900.305372343395,386.6986428010327
274,244.5535162425611,8900.305373393996,386.6986428020181
275,244.55351763407936,8900.305375283431,386.6986428027485
276,244.55351939769776,8900.30537759211,386.69864280253245
277,244.55352151209902,8900.305380358684,386.698642802256
278,244.5535238960927,8900.305383484654,386.69864280203274
279,244.55352643954413,8900.305386829355,386.69864280192235
280,244.55352907068323,8900.305390311156,386.6986428020974
281,244.55353297461875,8900.305395528074,386.6986428030327
282,244.55353735971752,8900.30540131767,386.698642803149
283,244.55354051800015,8900.305405482724,386.6986428031694
284,244.55354217777614,8900.305407686013,386.6986428033716
285,244.55357222791508,8900.30544753265,386.6986428064507
286,244.55357196007904,8900.305447159395,386.69864280618305
287,244.55357158925108,8900.305446665288,386.6986428061136
288,244.5535711097238,8900.30544602855,386.69864280605304
289,244.55357035063847,8900.305445025011,386.6986428060149
290,244.55356927895946,8900.305443609106,386.69864280597335
291,244.5535678716775,8900.305441750921,386.6986428059338
292,244.55356609077012,8900.305439393325,386.69864280580305
293,244.55356441090763,8900.305437133404,386.6986428051998
294,244.55356324282525,8900.305435573824,386.69864280493834
295,244.55356196571122,8900.305433886126,386.6986428048842
296,244.55356054834692,8900.305432015795,386.6986428048597
297,244.55355897373394,8900.305429935821,386.6986428048043
298,244.5535572272644,8900.305427627565,386.6986428047253
299,244.55355529290486,8900.305425071208,386.69864280464236
300,244.55355318488495,8900.305422284075,386.6986428045335
301,244.55355092027963,8900.305419289598,386.6986428044136
302,244.5535485141197,8900.30541610816,386.6986428042883
303,244.55354596800709,8900.305412744661,386.6986428041954
304,244.5535433394136,8900.305409273631,386.69864280411844
305,244.5535406909041,8900.305405778015,386.69864280406426
306,244.55353806205528,8900.305402305356,386.69864280396985
307,244.55353549120008,8900.305398845376,386.6986428030288
308,244.55353372322537,8900.305396452244,386.6986428022002
309,244.5535327211422,8900.305395071679,386.69864280140894
310,244.55353170978879,8900.305393666453,386.69864280045323
311,244.55353068510945,8900.305392298991,386.6986428002319
312,244.5535296436934,8900.3053909166,386.6986428001059
313,244.5535285947736,8900.305389518608,386.6986427999038
